cardTotal, count, Alpha(true), Alpha(false), 
15, -18, 53.85901354434565, 46.14098645565435, 
15, -17, 58.26561068533084, 41.73438931466916, 
15, -16, 64.13287751286568, 35.867122487134324, 
15, -15, 77.15378416635123, 22.84621583364877, 
15, -14, 53.4604802229905, 46.5395197770095, 
15, -13, 96.93960235682843, 3.0603976431715694, 
15, -12, 75.96408670128186, 24.035913298718143, 
15, -11, 76.40890913956473, 23.591090860435273, 
15, -10, 84.93280191036706, 15.067198089632939, 
15, -9, 92.15958087374612, 7.840419126253877, 
15, -8, 80.93370008428593, 19.066299915714076, 
15, -7, 88.91384495284012, 11.086155047159878, 
15, -6, 94.45431951116697, 5.545680488833028, 
15, -5, 44.434560390014546, 55.565439609985454, 
15, -4, 80.27473792053958, 19.72526207946042, 
15, -3, 66.08534918643406, 33.91465081356594, 
15, -2, 52.007225021112454, 47.992774978887546, 
15, -1, 67.93613918024678, 32.063860819753216, 
15, 0, 45.799856213067315, 54.200143786932685, 
15, 1, 68.88118216329772, 31.118817836702277, 
15, 2, 0.001400627677426769, 99.99859937232257, 
15, 3, 44.578395300343374, 55.421604699656626, 
15, 4, 2.3469580836958954, 97.6530419163041, 
15, 5, 0.02270634533678617, 99.97729365466321, 
15, 6, 0.04858838318574499, 99.95141161681426, 
15, 7, 0.43410572886335785, 99.56589427113664, 
15, 8, 21.19742056743023, 78.80257943256977, 
15, 9, 20.7232597089358, 79.2767402910642, 
15, 10, 13.287806743318592, 86.7121932566814, 
15, 11, 14.87770068388188, 85.12229931611812, 
15, 12, 12.717757185181313, 87.28224281481869, 
15, 13, 25.91373199837939, 74.08626800162061, 
15, 14, 22.37926119731185, 77.62073880268815, 
15, 15, 36.80111759756303, 63.19888240243697, 
15, 16, 44.30921044971072, 55.69078955028928, 
15, 17, 35.86122951977147, 64.13877048022853, 
15, 18, 42.525415503162506, 57.474584496837494, 
15, 19, 46.14098645565435, 53.85901354434565, 
15, 20, 46.068174367275674, 53.931825632724326, 
15, 21, 50.0, 50.0, 
16, -21, 53.931825632724326, 46.068174367275674, 
16, -20, 53.931825632724326, 46.068174367275674, 
16, -19, 42.434129085006646, 57.565870914993354, 
16, -18, 38.51997178421107, 61.48002821578893, 
16, -17, 58.7149052255758, 41.2850947744242, 
16, -16, 78.81850501166457, 21.181494988335423, 
16, -15, 44.94079021177272, 55.05920978822728, 
16, -14, 39.08742685965218, 60.91257314034782, 
16, -13, 39.51946939633288, 60.48053060366712, 
16, -12, 54.36796145770612, 45.63203854229388, 
16, -11, 55.0776859191027, 44.9223140808973, 
16, -10, 38.0771244231482, 61.9228755768518, 
16, -9, 66.73070423599125, 33.26929576400874, 
16, -8, 53.87301608402878, 46.12698391597122, 
16, -7, 28.22213035540402, 71.77786964459598, 
16, -6, 68.74728576909497, 31.252714230905028, 
16, -5, 31.457930489147103, 68.5420695108529, 
16, -4, 60.6657183400589, 39.3342816599411, 
16, -3, 0.012396482916656737, 99.98760351708334, 
16, -2, 36.9805952045547, 63.0194047954453, 
16, -1, 14.452828882206603, 85.5471711177934, 
16, 0, 9.909695803855811E-5, 99.99990090304196, 
16, 1, 0.15082679022255263, 99.84917320977745, 
16, 2, 2.903142572563411E-6, 99.99999709685743, 
16, 3, 41.997951393231396, 58.002048606768604, 
16, 4, 18.301299706059183, 81.69870029394082, 
16, 5, 0.09141957309152815, 99.90858042690847, 
16, 6, 3.2191385741953127E-4, 99.99967808614258, 
16, 7, 10.618042117106725, 89.38195788289327, 
16, 8, 0.015306948712023427, 99.98469305128798, 
16, 9, 1.5924105111646725, 98.40758948883533, 
16, 10, 17.836810175500666, 82.16318982449934, 
16, 11, 0.12469208099354034, 99.87530791900646, 
16, 12, 0.5193875088141056, 99.4806124911859, 
16, 13, 4.4555468372548575, 95.54445316274514, 
16, 14, 10.421784121140803, 89.5782158788592, 
16, 15, 5.2395023237588845, 94.76049767624112, 
16, 16, 35.77110041337589, 64.22889958662411, 
16, 17, 50.052984285506874, 49.947015714493126, 
16, 18, 42.586313733833606, 57.413686266166394, 
16, 19, 53.34613604991608, 46.65386395008392, 
16, 20, 50.0, 50.0, 
16, 21, 57.78342270190136, 42.21657729809864, 
17, -22, 46.068174367275674, 53.931825632724326, 
17, -21, 46.068174367275674, 53.931825632724326, 
17, -20, 57.78342270190136, 42.21657729809864, 
17, -19, 53.85901354434565, 46.14098645565435, 
17, -18, 61.34849604644931, 38.65150395355069, 
17, -17, 43.25395111609634, 56.74604888390366, 
17, -16, 28.780181453687206, 71.2198185463128, 
17, -15, 56.584950773542, 43.415049226458, 
17, -14, 46.79138643548217, 53.20861356451783, 
17, -13, 27.726961816445645, 72.27303818355435, 
17, -12, 36.02329099997322, 63.97670900002678, 
17, -11, 0.6257211489294576, 99.37427885107054, 
17, -10, 16.112531149255712, 83.88746885074428, 
17, -9, 8.270884767783173, 91.72911523221683, 
17, -8, 0.1202182932214555, 99.87978170677854, 
17, -7, 15.139811310007246, 84.86018868999275, 
17, -6, 0.14721714702908173, 99.85278285297092, 
17, -5, 0.5175753780074501, 99.48242462199255, 
17, -4, 0.003962161280938403, 99.99603783871906, 
17, -3, 0.16921990936695863, 99.83078009063304, 
17, -2, 0.003018365807733403, 99.99698163419227, 
17, -1, 0.002222544958897288, 99.9977774550411, 
17, 0, 0.028156820102822167, 99.97184317989718, 
17, 1, 0.018741077115734583, 99.98125892288427, 
17, 2, 8.953701356801957E-4, 99.99910462986432, 
17, 3, 0.0019523599710140616, 99.99804764002899, 
17, 4, 0.08820380605621381, 99.91179619394379, 
17, 5, 0.04417501221331577, 99.95582498778668, 
17, 6, 0.03766252013950577, 99.9623374798605, 
17, 7, 0.006384985727407866, 99.99361501427259, 
17, 8, 8.068827005729418E-4, 99.99919311729943, 
17, 9, 0.22410051105731554, 99.77589948894268, 
17, 10, 2.6978320812363563, 97.30216791876364, 
17, 11, 0.7615668439433136, 99.23843315605669, 
17, 12, 1.768307684982915, 98.23169231501709, 
17, 13, 4.774969747940872, 95.22503025205913, 
17, 14, 13.889415888337108, 86.11058411166289, 
17, 15, 17.111282971123543, 82.88871702887646, 
17, 16, 23.570122712775213, 76.42987728722478, 
17, 17, 52.89275979343056, 47.10724020656944, 
17, 18, 38.313743909152635, 61.686256090847365, 
17, 19, 50.07426724970006, 49.92573275029994, 
17, 20, 53.85901354434565, 46.14098645565435, 
17, 21, 45.99536439947763, 54.00463560052237, 
18, -23, 50.0, 50.0, 
18, -22, 53.931825632724326, 46.068174367275674, 
18, -20, 46.068174367275674, 53.931825632724326, 
18, -19, 42.14531543243016, 57.85468456756984, 
18, -18, 42.79297150202319, 57.20702849797681, 
18, -17, 30.34684978404035, 69.65315021595964, 
18, -16, 30.88800953642044, 69.11199046357956, 
18, -15, 5.986453671335752, 94.01354632866425, 
18, -14, 7.1300094349323615, 92.86999056506764, 
18, -13, 11.648592789446468, 88.35140721055353, 
18, -12, 13.287652025051813, 86.71234797494819, 
18, -11, 0.629138252300038, 99.37086174769996, 
